x	y	Sought Treatment	labels
9.20861	18.60937	1	2
19.700113	5.4529586	0	6
3.6737971	0.82927305	0	0
-18.23139	5.746504	1	7
-10.076993	-1.5254887	1	4
-15.825831	-22.303768	0	1
-7.1295877	15.716654	1	5
4.9861927	3.6935966	1	0
3.6640546	-6.02503	0	3
-8.724046	-19.877722	0	1
-3.74553	-9.433316	1	3
-11.861901	22.081808	1	5
7.841175	6.16725	0	0
4.9891005	16.563868	0	2
2.2578065	-0.44796628	0	0
-9.80892	0.030805184	0	4
16.173328	-6.1563435	0	6
-5.083487	-7.110617	1	4
4.510914	1.8333842	0	0
-12.194211	-24.179104	0	1
6.349264	24.957943	1	2
-2.4105048	-16.267298	1	3
-15.663709	6.964108	1	7
7.167858	-10.993163	1	3
7.699952	8.458764	1	0
-6.8411684	-0.49715042	1	4
-7.0871806	-20.020155	0	1
-11.339727	-10.217569	1	4
14.405765	8.083863	1	6
-1.6691145	7.1471734	1	0
6.0110292	-11.737447	0	3
8.750429	17.076826	1	2
3.35129	24.014576	1	5
-9.317274	-18.271168	0	1
-2.4246485	9.029633	1	5
1.4366267	7.673464	1	0
-17.112675	13.802948	0	7
7.1435027	-0.9258563	1	0
-0.8455396	-19.012724	1	3
16.514324	20.037746	0	2
-14.900293	-24.710619	0	1
-9.948031	7.4115143	1	7
-16.55506	-7.8990693	0	4
-10.342285	-13.212616	0	4
5.9487185	-23.05712	0	3
6.289051	-13.973751	0	3
-3.7798762	3.187302	0	0
-11.427014	10.668628	0	7
0.28668815	-19.14792	1	3
-22.732964	1.937756	1	7
12.975146	-1.270805	0	6
12.615949	-6.0041122	0	6
7.4587364	15.171045	0	2
0.03828386	-6.998389	1	3
-19.794107	1.5749261	1	7
-10.655844	3.4062836	1	7
3.8350751	-5.006176	0	0
3.5389588	-18.891205	1	3
19.226086	10.254655	0	6
9.392632	-4.6072674	1	6
-13.243715	2.262883	1	7
-2.206212	-22.999298	1	1
-7.4727855	-25.648796	1	1
3.6305203	-10.233868	0	3
-2.5923324	-0.879928	1	0
-23.917818	-0.048119657	0	4
10.058317	13.761877	0	2
-9.601857	16.875402	1	5
-1.8788147	-8.81775	0	3
-13.722322	-6.6968393	0	4
1.926795	-9.620037	0	3
-8.19972	3.435782	0	7
13.504645	15.532705	0	2
-18.612318	-2.990183	0	4
20.946133	2.7209148	0	6
20.623093	13.803742	0	2
18.56475	6.582899	1	6
-3.557957	-3.6136203	0	0
14.591936	17.847618	1	2
-8.1130495	3.020727	1	7
8.010755	5.980807	1	0
-2.5654013	23.35544	1	5
0.3800047	1.3869679	0	0
6.002018	1.8878977	1	0
-11.392281	-28.646946	1	1
15.555214	20.151003	0	2
-10.671647	-18.75427	0	1
12.8327	5.4219513	0	6
7.8815517	-0.4082331	0	0
-10.583903	-28.3361	1	1
15.776246	13.987293	0	2
16.151226	-2.047899	1	6
-1.2289037	-5.572623	0	0
-6.8874545	-4.1047726	1	4
-19.468191	-12.337997	0	4
-5.360315	13.985339	1	5
10.349093	16.931349	1	2
-7.107699	-24.047947	1	1
14.821748	4.014805	0	6
12.735135	6.3123946	1	6
9.940611	-4.4970374	0	6
-9.956094	-20.506348	1	1
11.256545	4.624813	1	6
-3.205908	23.688202	1	5
-0.43564513	-9.143019	1	3
11.613384	-11.177211	1	3
-17.016214	16.260187	1	7
-8.716755	1.4113516	1	7
3.0354705	21.218307	1	5
-7.135507	23.03954	1	5
12.085347	0.03813553	0	6
8.448168	-10.884508	1	3
11.365171	4.8610015	1	6
0.63225657	16.85424	1	5
23.626663	7.5321336	0	6
7.983462	24.94641	1	2
17.403666	10.027003	0	6
-17.205875	-17.097084	0	1
-7.2100515	-8.6071205	1	4
3.0472715	21.43498	1	5
10.130398	21.017178	1	2
-13.543151	-0.8254638	1	4
20.276321	9.4788	0	6
10.495971	7.042732	1	6
-6.991943	11.996152	0	5
8.987395	5.7079406	1	6
-4.5961967	-24.224556	1	1
-2.7660275	-12.567308	0	3
4.4412684	12.453811	1	5
14.991047	10.299101	0	2
15.820535	-0.4821066	0	6
9.128104	-19.07656	0	3
16.306679	6.2019157	0	6
14.29671	2.3487847	0	6
20.12903	17.194878	0	2
13.330694	-9.081303	0	3
1.9659172	6.285521	1	0
-15.217438	-23.446682	0	1
15.797223	3.2124708	1	6
20.86359	-6.611724	1	6
2.1677785	-11.658199	1	3
13.00932	20.004604	1	2
-14.594254	-28.258234	0	1
-21.244982	-5.2447677	1	4
11.432096	26.170181	1	2
-11.596744	-26.294132	0	1
1.4750164	18.729734	1	5
